觀測時間(hour),最大瞬間風(m/s),最大瞬間風風向(360degree),降水量(mm),全天空日射量(MJ/㎡),測站氣壓(hPa),氣溫(℃),相對溼度(%),風速(m/s),風向(360degree),日期
22,0,0,0,0,,,,,,2024/1/5
23,0,0,0,0,,,,,,2024/1/5
24,0,0,0,0,,,,,,2024/1/5
1,0.1,0,0,0,,,,,,2024/1/6
2,0,0,0,0,,,,,,2024/1/6
3,1.6,215,0,0,,,,,,2024/1/6
4,0.8,208,0,0,,,,,,2024/1/6
5,1,207,0,0,,,,,,2024/1/6
6,0.8,208,0,0,,,,,,2024/1/6
7,1.1,211,0,0,,,,,,2024/1/6
8,1.7,210,0,0.1,,,,,,2024/1/6
9,2.2,214,0,0.8,,,,,,2024/1/6
10,2.6,211,0,1.8,,,,,,2024/1/6
11,1.9,244,0,2.2,,,,,,2024/1/6
12,4.1,41,0,2.5,,,,,,2024/1/6
13,4,121,0,2.5,,,,,,2024/1/6
14,3.7,93,0,1.7,,,,,,2024/1/6
15,3.2,37,0,0.9,,,,,,2024/1/6
16,4.5,24,0,0.5,,,,,,2024/1/6
17,2.3,111,0,0,,,,,,2024/1/6
18,3.3,19,0,0,,,,,,2024/1/6
19,1.1,328,0,0,,,,,,2024/1/6
20,0.6,204,0,0,,,,,,2024/1/6
21,0.4,277,0,0,,,,,,2024/1/6
22,0.6,202,0,0,,,,,,2024/1/6
23,0.8,209,0,0,,,,,,2024/1/6
24,0.8,209,0,0,,,,,,2024/1/6
1,0.2,0,0,0,,,,,,2024/1/7
2,0,0,0,0,,,,,,2024/1/7
3,0.6,128,0,0,,,,,,2024/1/7
4,1.2,39,0,0,,,,,,2024/1/7
5,1.8,294,0,0,,,,,,2024/1/7
6,1.7,210,0,0,,,,,,2024/1/7
7,1.7,206,0,0,,,,,,2024/1/7
8,1.6,103,0,0,,,,,,2024/1/7
9,2.2,310,0,0,,,,,,2024/1/7
10,3.7,21,0,0.1,,,,,,2024/1/7
11,3.6,31,0,0.2,,,,,,2024/1/7
12,4.8,90,0,0.3,,,,,,2024/1/7
13,4.6,101,0,0.4,,,,,,2024/1/7
14,4.8,68,0,0.3,,,,,,2024/1/7
15,4.1,70,0,0.2,,,,,,2024/1/7
16,2.4,20,0,0.1,,,,,,2024/1/7
17,1.3,300,0,0,,,,,,2024/1/7
18,1,68,0,0,,,,,,2024/1/7
19,1.2,10,0,0,,,,,,2024/1/7
20,1.1,78,0,0,,,,,,2024/1/7
21,1.6,130,0,0,,,,,,2024/1/7
22,1,352,0,0,,,,,,2024/1/7
23,1,323,0,0,,,,,,2024/1/7
24,0.5,209,0,0,,,,,,2024/1/7
1,0.6,207,0,0,,,,,,2024/1/8
2,0.8,242,0,0,,,,,,2024/1/8
3,0,0,0,0,,,,,,2024/1/8
4,1.3,30,0,0,,,,,,2024/1/8
5,0.7,87,0,0,,,,,,2024/1/8
6,0.7,87,0,0,,,,,,2024/1/8
7,0.3,163,0,0,,,,,,2024/1/8
8,1.3,210,0,0.2,,,,,,2024/1/8
9,2.2,220,0,0.7,,,,,,2024/1/8
10,2.8,204,0,0.8,,,,,,2024/1/8
11,2.2,205,0,1,,,,,,2024/1/8
12,2,295,0,1.3,,,,,,2024/1/8
13,3.4,42,0,1.4,,,,,,2024/1/8
14,3.1,149,0,1.5,,,,,,2024/1/8
15,3.6,108,0,1.2,,,,,,2024/1/8
16,2.7,85,0,0.8,,,,,,2024/1/8
17,2.8,24,0,0.2,,,,,,2024/1/8
18,0.5,1,0,0,,,,,,2024/1/8
19,0,0,0,0,,,,,,2024/1/8
20,0.2,0,0,0,,,,,,2024/1/8
21,0,0,0,0,,,,,,2024/1/8
22,0,0,0,0,,,,,,2024/1/8
23,0.9,198,0,0,,,,,,2024/1/8
24,0,0,0,0,,,,,,2024/1/8
1,0.7,196,0,0,,,,,,2024/1/9
2,1,224,0,0,,,,,,2024/1/9
3,1.3,219,0,0,,,,,,2024/1/9
4,0.9,211,0,0,,,,,,2024/1/9
5,1.6,215,0,0,,,,,,2024/1/9
6,1.3,264,0,0,,,,,,2024/1/9
7,1,248,0,0,,,,,,2024/1/9
8,2.5,214,0,0.1,,,,,,2024/1/9
9,2.1,209,0,0.6,,,,,,2024/1/9
10,3.1,196,0,1.3,,,,,,2024/1/9
11,2.9,73,0,2.2,,,,,,2024/1/9
12,4.3,91,0,2.5,,,,,,2024/1/9
13,4.2,28,0,1.6,,,,,,2024/1/9
14,4.2,28,0,1.1,,,,,,2024/1/9
15,3.9,41,0,0.7,,,,,,2024/1/9
16,3.3,61,0,0.2,,,,,,2024/1/9
17,3.7,41,0,0,,,,,,2024/1/9
18,2.9,7,0,0,,,,,,2024/1/9
19,1,316,0,0,,,,,,2024/1/9
20,0.6,279,0,0,,,,,,2024/1/9
21,0.9,277,0,0,,,,,,2024/1/9
22,1.2,217,0,0,,,,,,2024/1/9
23,0.5,215,0,0,,,,,,2024/1/9
24,1.3,201,0,0,,,,,,2024/1/9
1,1.5,205,0,0,,,,,,2024/1/10
2,1.9,213,0,0,,,,,,2024/1/10
3,1.2,234,0,0,,,,,,2024/1/10
4,1,227,0,0,,,,,,2024/1/10
5,2,214,0,0,,,,,,2024/1/10
6,0.7,246,0,0,,,,,,2024/1/10
7,0.3,244,0,0,,,,,,2024/1/10
8,1.2,241,0,0,,,,,,2024/1/10
9,4.4,86,0,0.3,,,,,,2024/1/10
10,2.9,49,0,0.4,,,,,,2024/1/10
11,4,83,0,0.2,,,,,,2024/1/10
12,3.9,14,0,0.2,,,,,,2024/1/10
13,3,73,0,0.3,,,,,,2024/1/10
14,5.4,101,0,0.1,,,,,,2024/1/10
15,4.4,49,0,0,,,,,,2024/1/10
16,2.9,332,0,0,,,,,,2024/1/10
17,3.2,199,0,0,,,,,,2024/1/10
18,2.2,214,0,0,,,,,,2024/1/10
19,2.2,193,0,0,,,,,,2024/1/10
20,3.8,22,0,0,,,,,,2024/1/10
21,4.3,67,0,0,,,,,,2024/1/10
22,4.5,5,0,0,,,,,,2024/1/10
23,5.1,57,0,0,,,,,,2024/1/10
24,3.3,27,0,0,,,,,,2024/1/10
1,2.1,8,0,0,,,,,,2024/1/11
2,1.9,91,0,0,,,,,,2024/1/11
3,1.2,206,0,0,,,,,,2024/1/11
4,1.1,222,0,0,,,,,,2024/1/11
5,1,206,0,0,,,,,,2024/1/11
6,1,196,0,0,,,,,,2024/1/11
7,1,257,0,0,,,,,,2024/1/11
8,1,196,0,0.1,,,,,,2024/1/11
9,1,284,0,0.3,,,,,,2024/1/11
10,1.1,193,0,0.5,,,,,,2024/1/11
11,1.2,194,0,0.9,,,,,,2024/1/11
12,2.5,117,0,1.8,,,,,,2024/1/11
13,2.9,116,0,1.1,,,,,,2024/1/11
14,2.5,270,0,0.7,,,,,,2024/1/11
15,1.4,339,0,0.2,,,,,,2024/1/11
16,1,349,0,0.1,,,,,,2024/1/11
17,0.8,290,0,0,,,,,,2024/1/11
18,0.5,291,0,0,,,,,,2024/1/11
19,0.3,22,0,0,,,,,,2024/1/11
20,0.4,22,0,0,,,,,,2024/1/11
21,0.4,219,0,0,,,,,,2024/1/11
22,0,0,0,0,,,,,,2024/1/11
23,0.3,219,0,0,,,,,,2024/1/11
24,0.9,257,0,0,,,,,,2024/1/11
1,1.2,205,0,0,,,,,,2024/1/12
2,1.6,216,0,0,,,,,,2024/1/12
3,0.7,212,0,0,,,,,,2024/1/12
4,0.9,213,0,0,,,,,,2024/1/12
5,0.6,216,0,0,,,,,,2024/1/12
6,1.1,207,0,0,,,,,,2024/1/12
7,1.5,210,0,0,,,,,,2024/1/12
8,1.9,204,0,0.1,,,,,,2024/1/12
9,3.1,204,0,0.6,,,,,,2024/1/12
10,2.9,242,0,1.5,,,,,,2024/1/12
11,2.4,259,0,1.7,,,,,,2024/1/12
12,2.1,276,0,2.3,,,,,,2024/1/12
13,1.9,23,0,0.8,,,,,,2024/1/12
14,1.8,111,0,0.7,,,,,,2024/1/12
15,2.3,36,0,0.7,,,,,,2024/1/12
16,2.4,47,0,0.4,,,,,,2024/1/12
17,1.3,73,0,0.1,,,,,,2024/1/12
18,0.5,58,0,0,,,,,,2024/1/12
19,0,0,0,0,,,,,,2024/1/12
20,0,0,0,0,,,,,,2024/1/12
21,0,0,0,0,,,,,,2024/1/12
22,0,0,0,0,,,,,,2024/1/12
23,0,0,0,0,,,,,,2024/1/12
24,0.5,354,0,0,,,,,,2024/1/12
1,0.4,341,0,0,,,,,,2024/1/13
2,1.4,225,0,0,,,,,,2024/1/13
3,1.3,249,0,0,,,,,,2024/1/13
4,1.2,218,0,0,,,,,,2024/1/13
5,1.1,212,0,0,,,,,,2024/1/13
6,0.1,0,0,0,,,,,,2024/1/13
7,0.6,214,0,0,,,,,,2024/1/13
8,1.4,254,0,0.1,,,,,,2024/1/13
9,1.9,200,0,0.5,,,,,,2024/1/13
10,1.4,189,0,0.8,,,,,,2024/1/13
11,0.9,158,0,0.6,,,,,,2024/1/13
12,1.7,109,0,0.9,,,,,,2024/1/13
13,2.1,18,0,0.7,,,,,,2024/1/13
14,2,333,0,0.6,,,,,,2024/1/13
15,1.9,321,0,0.5,,,,,,2024/1/13
16,1.5,352,0,0.1,,,,,,2024/1/13
17,0,0,0,0,,,,,,2024/1/13
18,1,215,0,0,,,,,,2024/1/13
19,0.7,233,0,0,,,,,,2024/1/13
20,0,0,0,0,,,,,,2024/1/13
21,1.2,201,0,0,,,,,,2024/1/13
22,1,256,0,0,,,,,,2024/1/13
23,1.5,206,0,0,,,,,,2024/1/13
24,1.6,210,0,0,,,,,,2024/1/13
1,2.3,266,0,0,,,,,,2024/1/14
2,2.3,203,0,0,,,,,,2024/1/14
3,1.1,261,0,0,,,,,,2024/1/14
4,0.6,228,0,0,,,,,,2024/1/14
5,0.6,223,0,0,,,,,,2024/1/14
6,1.3,197,0,0,,,,,,2024/1/14
7,1.1,206,0,0,,,,,,2024/1/14
8,1.5,219,0,0.1,,,,,,2024/1/14
9,3,215,0,0.7,,,,,,2024/1/14
10,2.5,211,0,1.5,,,,,,2024/1/14
11,2.3,245,0,2.5,,,,,,2024/1/14
12,2.5,210,0,2.7,,,,,,2024/1/14
13,2.8,124,0,0.7,,,,,,2024/1/14
14,2.8,84,0,0.6,,,,,,2024/1/14
15,3.2,147,0,0.5,,,,,,2024/1/14
16,1.4,145,0,0.2,,,,,,2024/1/14
17,2.3,264,0,0,,,,,,2024/1/14
18,0.7,239,0,0,,,,,,2024/1/14
19,0.3,216,0,0,,,,,,2024/1/14
20,1.1,216,0,0,,,,,,2024/1/14
21,0.6,213,0,0,,,,,,2024/1/14
22,0,0,0,0,,,,,,2024/1/14
23,0,0,0,0,,,,,,2024/1/14
24,0,0,0,0,,,,,,2024/1/14
1,0,0,0,0,,,,,,2024/1/15
2,0,0,0,0,,,,,,2024/1/15
3,0.5,213,0,0,,,,,,2024/1/15
4,1.1,213,0,0,,,,,,2024/1/15
5,1,212,0,0,,,,,,2024/1/15
6,1.1,194,0,0,,,,,,2024/1/15
7,1.1,205,0,0,,,,,,2024/1/15
8,1.9,218,0,0.1,,,,,,2024/1/15
9,2.3,200,0,1.2,,,,,,2024/1/15
10,3,262,0,1.8,,,,,,2024/1/15
11,3.8,103,0,2.3,,,,,,2024/1/15
12,4.3,111,0,2.7,,,,,,2024/1/15
13,5.6,115,0,2.4,,,,,,2024/1/15
14,5.3,57,0,0.3,,,,,,2024/1/15
15,5.3,7,0,0.3,,,,,,2024/1/15
16,5.2,21,0,0.3,,,,,,2024/1/15
17,4.8,15,0,0.2,,,,,,2024/1/15
18,3.4,32,0,0,,,,,,2024/1/15
19,3.2,90,0,0,,,,,,2024/1/15
20,5,40,0,0,,,,,,2024/1/15
21,5.2,25,0,0,,,,,,2024/1/15
22,2.3,3,0,0,,,,,,2024/1/15
23,3.8,43,0,0,,,,,,2024/1/15
24,2.8,356,0,0,,,,,,2024/1/15
1,1.7,87,0,0,,,,,,2024/1/16
2,0.8,34,0.5,0,,,,,,2024/1/16
3,0,0,0,0,,,,,,2024/1/16
4,0,0,0,0,,,,,,2024/1/16
5,0.1,0,0,0,,,,,,2024/1/16
6,0.9,34,0,0,,,,,,2024/1/16
7,0.8,34,0,0,,,,,,2024/1/16
8,0.6,34,0,0,,,,,,2024/1/16
9,1.1,33,0.5,0.2,,,,,,2024/1/16
10,1.2,45,0,0.5,,,,,,2024/1/16
11,4,76,0,0.9,,,,,,2024/1/16
12,3.9,69,0,0.7,,,,,,2024/1/16
13,4.9,68,0,0.7,,,,,,2024/1/16
14,4.1,67,0,0.5,,,,,,2024/1/16
15,4.4,87,0,0.5,,,,,,2024/1/16
16,4.9,24,0,0.2,,,,,,2024/1/16
17,3.5,2,0,0.1,,,,,,2024/1/16
18,0.6,165,0,0,,,,,,2024/1/16
19,0,0,0,0,,,,,,2024/1/16
20,0.8,256,0,0,,,,,,2024/1/16
21,1.4,269,0,0,,,,,,2024/1/16
22,1,240,0,0,,,,,,2024/1/16
23,1.2,218,0,0,,,,,,2024/1/16
24,1.1,253,0,0,,,,,,2024/1/16
1,0.7,246,0,0,,,,,,2024/1/17
2,0.6,223,0,0,,,,,,2024/1/17
3,0.6,223,0,0,,,,,,2024/1/17
4,2.5,133,0,0,,,,,,2024/1/17
5,2.4,204,0,0,,,,,,2024/1/17
6,2.4,269,0,0,,,,,,2024/1/17
7,1.2,224,0,0,,,,,,2024/1/17
8,1.9,218,0,0.2,,,,,,2024/1/17
9,2.4,232,0,0.5,,,,,,2024/1/17
10,2,208,0,0.8,,,,,,2024/1/17
11,2.2,14,0,1.3,,,,,,2024/1/17
12,1.7,36,0,0.5,,,,,,2024/1/17
13,3,263,0,1.2,,,,,,2024/1/17
14,2.6,237,0,1.9,,,,,,2024/1/17
15,2.5,220,0,1.5,,,,,,2024/1/17
16,2.8,154,0,1,,,,,,2024/1/17
17,1.1,287,0,0.2,,,,,,2024/1/17
18,0.5,283,0,0,,,,,,2024/1/17
19,3,231,0,0,,,,,,2024/1/17
20,1,197,0,0,,,,,,2024/1/17
21,0,0,0,0,,,,,,2024/1/17
22,0.6,205,0,0,,,,,,2024/1/17
23,1.7,235,0,0,,,,,,2024/1/17
24,1.1,215,0,0,,,,,,2024/1/17
1,1.4,251,0,0,,,,,,2024/1/18
2,0.3,216,0,0,,,,,,2024/1/18
3,1.4,208,0,0,,,,,,2024/1/18
4,1.6,243,0,0,,,,,,2024/1/18
5,2.8,211,0,0,,,,,,2024/1/18
6,1.4,211,0,0,,,,,,2024/1/18
7,2.3,250,0,0,,,,,,2024/1/18
8,2.6,264,0,0.2,,,,,,2024/1/18
9,2.2,192,0,0.9,,,,,,2024/1/18
10,3.2,194,0,1.9,,,,,,2024/1/18
11,2.9,199,0,2.4,,,,,,2024/1/18
12,2.8,215,0,2.7,,,,,,2024/1/18
13,3.3,80,0,2.7,,,,,,2024/1/18
14,3.2,90,0,2.4,,,,,,2024/1/18
15,3,123,0,1.9,,,,,,2024/1/18
16,2.4,139,0,1.3,,,,,,2024/1/18
17,1.6,133,0,0.4,,,,,,2024/1/18
18,1.9,133,0,0,,,,,,2024/1/18
19,1.4,347,0,0,,,,,,2024/1/18
20,0.8,303,0,0,,,,,,2024/1/18
21,0,0,0,0,,,,,,2024/1/18
22,0.5,313,0,0,,,,,,2024/1/18
23,0,0,0,0,,,,,,2024/1/18
24,0.3,272,0,0,,,,,,2024/1/18
1,1,304,0,0,,,,,,2024/1/19
2,0.8,214,0,0,,,,,,2024/1/19
3,1.3,258,0,0,,,,,,2024/1/19
4,0.5,202,0,0,,,,,,2024/1/19
5,0.8,204,0,0,,,,,,2024/1/19
6,1.7,275,0,0,,,,,,2024/1/19
7,0.9,232,0,0,,,,,,2024/1/19
8,1.9,214,0,0.2,,,,,,2024/1/19
9,2.5,213,0,0.7,,,,,,2024/1/19
10,2.4,215,0,1,,,,,,2024/1/19
11,2.2,207,0,1.4,,,,,,2024/1/19
12,2.2,17,0,2.1,,,,,,2024/1/19
13,3.2,124,0,1.9,,,,,,2024/1/19
14,3.4,27,0,1.7,,,,,,2024/1/19
15,3.2,103,0,1.5,,,,,,2024/1/19
16,2.5,37,0,0.6,,,,,,2024/1/19
17,2.2,115,0,0.3,,,,,,2024/1/19
18,1.2,72,0,0,,,,,,2024/1/19
19,0,0,0,0,,,,,,2024/1/19
20,0.5,108,0,0,,,,,,2024/1/19
21,0,0,0,0,,,,,,2024/1/19
22,0,0,0,0,,,,,,2024/1/19
23,0,0,0,0,,,,,,2024/1/19
24,0.9,195,0,0,,,,,,2024/1/19
1,1,268,0,0,,,,,,2024/1/20
2,1.9,229,0,0,,,,,,2024/1/20
3,0.8,237,0,0,,,,,,2024/1/20
4,0.7,212,0,0,,,,,,2024/1/20
5,1,207,0,0,,,,,,2024/1/20
6,1.4,201,0,0,,,,,,2024/1/20
7,1.6,208,0,0,,,,,,2024/1/20
8,1,229,0,0.1,,,,,,2024/1/20
9,2.4,206,0,0.7,,,,,,2024/1/20
10,2.8,223,0,1.7,,,,,,2024/1/20
11,2.3,264,0,2.3,,,,,,2024/1/20
12,1.7,307,0,1.3,,,,,,2024/1/20
13,2.2,133,0,1.5,,,,,,2024/1/20
14,2.9,159,0,1.5,,,,,,2024/1/20
15,2.6,23,0,0.6,,,,,,2024/1/20
16,2.4,113,0,0.5,,,,,,2024/1/20
17,1.9,73,0,0.2,,,,,,2024/1/20
18,1.1,104,0,0,,,,,,2024/1/20
19,1.2,96,0,0,,,,,,2024/1/20
20,1,104,0,0,,,,,,2024/1/20
21,4,72,0.5,0,,,,,,2024/1/20
22,4,68,0,0,,,,,,2024/1/20
23,3.8,68,0,0,,,,,,2024/1/20
24,3.1,1,0,0,,,,,,2024/1/20
1,3.8,56,0,0,,,,,,2024/1/21
2,5.9,43,0,0,,,,,,2024/1/21
3,5.5,37,0,0,,,,,,2024/1/21
4,6,1,0,0,,,,,,2024/1/21
5,4.3,13,0,0,,,,,,2024/1/21
6,3.2,56,0,0,,,,,,2024/1/21
7,1.7,275,0,0,,,,,,2024/1/21
8,1.9,260,0.5,0,,,,,,2024/1/21
9,3.6,1,0,0.1,,,,,,2024/1/21
10,4.8,72,0,0.3,,,,,,2024/1/21
11,4.3,74,0,0.7,,,,,,2024/1/21
12,4.5,97,0,0.6,,,,,,2024/1/21
13,4.4,94,0,0.1,,,,,,2024/1/21
14,5.9,79,0,0.1,,,,,,2024/1/21
15,2.7,33,0,0.1,,,,,,2024/1/21
16,2.4,219,0,0,,,,,,2024/1/21
17,3.1,17,0,0,,,,,,2024/1/21
18,3.2,87,0,0,,,,,,2024/1/21
19,2.8,73,0,0,,,,,,2024/1/21
20,1.7,302,0,0,,,,,,2024/1/21
21,1.3,241,0,0,,,,,,2024/1/21
22,1.3,198,0,0,,,,,,2024/1/21
23,1.1,252,0,0,,,,,,2024/1/21
24,1.1,252,0,0,,,,,,2024/1/21
1,1.7,220,0,0,,,,,,2024/1/22
2,1.9,189,0,0,,,,,,2024/1/22
3,1.7,250,0,0,,,,,,2024/1/22
4,1.6,202,0,0,,,,,,2024/1/22
5,1.3,236,0,0,,,,,,2024/1/22
6,1.5,226,0,0,,,,,,2024/1/22
7,2,209,0,0,,,,,,2024/1/22
8,1.3,288,0,0.1,,,,,,2024/1/22
9,1.7,217,0,0.7,,,,,,2024/1/22
10,2.7,32,0,1.6,,,,,,2024/1/22
11,4.5,59,0,0.3,,,,,,2024/1/22
12,4.7,73,0,0.4,,,,,,2024/1/22
13,6.9,80,0,0.6,,,,,,2024/1/22
14,7.4,42,0,0.6,,,,,,2024/1/22
15,7.6,84,0,0.5,,,,,,2024/1/22
16,6.5,80,0,0.2,,,,,,2024/1/22
17,6.2,76,0,0,,,,,,2024/1/22
18,7,6,0,0,,,,,,2024/1/22
19,7.2,63,0,0,,,,,,2024/1/22
20,6.5,7,0,0,,,,,,2024/1/22
21,6.3,23,0,0,,,,,,2024/1/22
22,5.8,9,0,0,,,,,,2024/1/22
23,5.2,100,0,0,,,,,,2024/1/22
24,6.4,83,0,0,,,,,,2024/1/22
1,4.8,322,0,0,,,,,,2024/1/23
2,3.8,40,0,0,,,,,,2024/1/23
3,6.2,75,0,0,,,,,,2024/1/23
4,2.9,286,0,0,,,,,,2024/1/23
5,2.7,315,0,0,,,,,,2024/1/23
6,2.5,257,0,0,,,,,,2024/1/23
7,1.7,276,0,0,,,,,,2024/1/23
8,1.9,256,0,0.1,,,,,,2024/1/23
9,2,239,0,0.3,,,,,,2024/1/23
10,1.8,318,0,0.5,,,,,,2024/1/23
11,3.5,334,0,0.6,,,,,,2024/1/23
12,2.4,21,0,0.6,,,,,,2024/1/23
13,2.6,302,0.5,0.5,,,,,,2024/1/23
14,2.2,266,0,0.3,,,,,,2024/1/23
15,1.5,186,0,0.1,,,,,,2024/1/23
16,2.3,214,0,0,,,,,,2024/1/23
17,2.8,203,0,0,,,,,,2024/1/23
18,1.9,209,0,0,,,,,,2024/1/23
19,2.4,215,0,0,,,,,,2024/1/23
20,2.2,285,0,0,,,,,,2024/1/23
21,3.4,209,0,0,,,,,,2024/1/23
22,2.9,336,0,0,,,,,,2024/1/23
23,3.4,295,0,0,,,,,,2024/1/23
24,3.8,347,0,0,,,,,,2024/1/23
1,4.5,1,0,0,,,,,,2024/1/24
2,4.4,63,0,0,,,,,,2024/1/24
3,4,30,0,0,,,,,,2024/1/24
4,4.5,28,0,0,,,,,,2024/1/24
5,1.9,29,0,0,,,,,,2024/1/24
6,2.6,301,0,0,,,,,,2024/1/24
7,1.5,254,0,0,,,,,,2024/1/24
8,0.7,121,0,0,,,,,,2024/1/24
9,0.8,121,0.5,0.1,,,,,,2024/1/24
10,1.2,212,0,0.2,,,,,,2024/1/24
11,1.1,201,0,0.3,,,,,,2024/1/24
12,1.2,26,0,0.4,,,,,,2024/1/24
13,2.5,74,0,0.9,,,,,,2024/1/24
