ObsTime,StnPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,GloblRad
12,1000.6,1002.9,2024/8/12 21:09,999.2,2024/8/12 02:10,29.4,35.8,2024/8/12 15:04,24.8,2024/8/12 05:22,81,53,2024/8/12 12:00,0.4,234,3.4,94,2024/8/12 10:59,0.5,21.1
13,1002.6,1003.9,2024/8/13 08:57,1001,2024/8/13 01:32,28.7,35.7,2024/8/13 13:23,24.8,2024/8/13 05:08,84,53,2024/8/13 13:24,0.4,219,3.5,50,2024/8/13 13:27,0,18.1
14,1002.8,1004.1,2024/8/14 06:41,1001.7,2024/8/14 16:40,27.7,35.3,2024/8/14 12:55,24.7,2024/8/14 04:28,88,56,2024/8/14 11:34,0.4,225,3.9,356,2024/8/14 10:34,2,17.2
15,1002.1,1003.5,2024/8/15 20:57,1000.8,2024/8/15 16:18,26.9,33.8,2024/8/15 10:22,24.5,2024/8/15 02:31,93,57,2024/8/15 10:19,0.3,73,4.7,88,2024/8/15 11:31,13,14.1
16,1002.1,1003.7,2024/8/16 22:27,1000.8,2024/8/16 01:01,27.2,33.1,2024/8/16 12:22,24.1,2024/8/16 05:05,92,65,2024/8/16 10:05,0.4,77,5.2,74,2024/8/16 11:31,0.5,17.6
17,1003.4,1004.9,2024/8/17 21:10,1001.7,2024/8/17 03:09,27.7,34.2,2024/8/17 11:25,24.3,2024/8/17 03:47,90,61,2024/8/17 11:27,0.3,216,3.5,69,2024/8/17 11:32,20,15.3
18,1003,1004.4,2024/8/18 08:10,1002,2024/8/18 21:40,27.2,34.3,2024/8/18 11:42,25.3,2024/8/18 05:27,94,64,2024/8/18 11:35,0.2,0,3.6,85,2024/8/18 12:52,6.5,11.2
19,1002.3,1003.7,2024/8/19 09:52,1000.7,2024/8/19 02:10,27,33.2,2024/8/19 11:10,24.7,2024/8/19 05:21,95,67,2024/8/19 11:24,0.1,0,3.9,100,2024/8/19 11:50,7,10.4
20,1004.1,1006.7,2024/8/20 23:31,1001.6,2024/8/20 04:42,28.7,34.7,2024/8/20 11:17,24.7,2024/8/20 04:41,87,59,2024/8/20 11:40,0.2,0,3.9,80,2024/8/20 11:47,0,19.9
21,1005.9,1007.3,2024/8/21 22:22,1004.8,2024/8/21 14:54,29.1,34.2,2024/8/21 16:02,24.8,2024/8/21 05:33,86,60,2024/8/21 16:03,0.4,58,3.9,105,2024/8/21 10:29,0,24
22,1006.3,1007.5,2024/8/22 22:30,1005.1,2024/8/22 16:39,29.2,34.4,2024/8/22 12:35,24.2,2024/8/22 05:01,85,62,2024/8/22 09:28,0.6,65,5.3,91,2024/8/22 13:04,0,24.8
23,1006.6,1007.6,2024/8/23 22:33,1005.1,2024/8/23 18:48,28.9,34.7,2024/8/23 12:35,24.7,2024/8/23 05:28,84,60,2024/8/23 15:15,0.3,241,4.5,78,2024/8/23 12:03,0,20.5
24,1006.2,1007.4,2024/8/24 08:18,1004.7,2024/8/24 18:42,28.5,35,2024/8/24 12:35,24.2,2024/8/24 04:05,85,58,2024/8/24 10:33,0.3,85,4.7,87,2024/8/24 14:07,0,22.3
25,1004.8,1006,2024/8/25 07:04,1003.4,2024/8/25 19:23,27.4,33.9,2024/8/25 12:01,24,2024/8/25 23:37,89,59,2024/8/25 10:37,0.3,53,5,90,2024/8/25 11:46,22,21.3
26,1002.8,1004.4,2024/8/26 00:01,1001.5,2024/8/26 15:45,28.3,34.4,2024/8/26 14:16,23.4,2024/8/26 03:06,83,53,2024/8/26 13:09,0.4,51,3.9,114,2024/8/26 13:15,0,25.2
27,1000.6,1002.9,2024/8/27 08:42,998.6,2024/8/27 19:38,29.3,35.5,2024/8/27 16:01,24.3,2024/8/27 05:36,83,55,2024/8/27 15:32,0.2,0,3.7,50,2024/8/27 13:12,0,25
28,999.8,1001.7,2024/8/28 20:52,998.3,2024/8/28 03:46,29,35.4,2024/8/28 10:38,24.3,2024/8/28 05:05,85,53,2024/8/28 11:50,0.4,61,5.3,90,2024/8/28 12:54,0,24.5
29,1002.5,1004.5,2024/8/29 21:05,1000.4,2024/8/29 03:40,29.4,35.7,2024/8/29 12:08,24.7,2024/8/29 04:09,82,53,2024/8/29 15:47,0.3,220,3.8,91,2024/8/29 13:38,0,24.7
30,1004.8,1006.6,2024/8/30 21:01,1003.3,2024/8/30 04:28,29.1,35.1,2024/8/30 12:56,24.2,2024/8/30 05:31,82,52,2024/8/30 14:23,0.3,82,4,87,2024/8/30 13:17,0,23.7
31,1005.2,1006.7,2024/8/31 08:54,1004.1,2024/8/31 02:15,29.2,35.4,2024/8/31 14:25,24.4,2024/8/31 05:33,81,52,2024/8/31 12:32,0.3,53,3.5,119,2024/8/31 12:03,0,24.1
