序號,答案
20240327095001,471.76
20240327100001,564.59
20240327101001,566.51
20240327102001,701.26
20240327103001,626.03
20240327104001,1057.74
20240327105001,934.57
20240327110001,857.79
20240327111001,696.03
20240327112001,563.48
20240327113001,515.76
20240327114001,382.26
20240327115001,382.68
20240327120001,179.99
20240327121001,202.25
20240327122001,231.21
20240327123001,205.88
20240327124001,157.06
20240327125001,188.74
20240327130001,237.63
20240327131001,132.75
20240327132001,112.17
20240327133001,80.28
20240327134001,61.01
20240327135001,34.18
20240327140001,21.18
20240327141001,19.45
20240327142001,35.21
20240327143001,24.02
20240327144001,15.97
20240327145001,21.9
20240327150001,10.85
20240327151001,11.85
20240327152001,10.91
20240327153001,13.73
20240327154001,13.12
20240327155001,8.62
20240327160001,10.28
20240327161001,7.71
20240327162001,6.75
20240327163001,6.62
20240327164001,7.27
20240327165001,4.58
20240329090001,37.02
20240329091001,18.29
20240329092001,18.55
20240329093001,14.84
20240329094001,15.42
20240329095001,16.64
20240329100001,16.56
20240329101001,21.21
20240329102001,15.64
20240329103001,15.47
20240329104001,15.21
20240329105001,29.51
20240329110001,17.7
20240329111001,18.35
20240329112001,12.07
20240329113001,16.75
20240329114001,19.26
20240329115001,20.62
20240329120001,31.4
20240329121001,34.77
20240329122001,30.66
20240329123001,18.13
20240329124001,13.83
20240329125001,23.86
20240329130001,26.99
20240329131001,16.75
20240329132001,11.1
20240329133001,13.04
20240329134001,19.72
20240329135001,18.45
20240329140001,15.1
20240329141001,15.21
20240329142001,18.92
20240329143001,16.51
20240329144001,16.82
20240329145001,15.45
20240329150001,18.71
20240329151001,20.05
20240329152001,17.51
20240329153001,11.26
20240329154001,13.78
20240329155001,7.13
20240329160001,9.42
20240329161001,6.9
20240329162001,2.84
20240329163001,3.49
20240329164001,3.48
20240329165001,1.69
20240428090001,195.15
20240428091001,231.96
20240428092001,194.67
20240428093001,45.5
20240428094001,29.4
20240428095001,42.74
20240428100001,27.72
20240428101001,120.98
20240428102001,408.9
20240428103001,484.57
20240428104001,799.37
20240428105001,636.54
20240428110001,886.15
20240428111001,1205.99
20240428112001,1086.47
20240428113001,398.3
20240428114001,292.85
20240428115001,303.48
20240428120001,283.62
20240428121001,287.0
20240428122001,223.1
20240428123001,279.94
20240428124001,166.03
20240428125001,117.61
20240428130001,64.52
20240428131001,58.44
20240428132001,46.86
20240428133001,30.65
20240428134001,38.49
20240428135001,36.38
20240428140001,38.7
20240428141001,43.54
20240428142001,43.65
20240428143001,69.53
20240428144001,139.94
20240428145001,64.72
20240428150001,211.1
20240428151001,417.97
20240428152001,162.45
20240428153001,91.1
20240428154001,90.47
20240428155001,98.35
20240428160001,113.38
20240428161001,44.31
20240428162001,30.8
20240428163001,26.89
20240428164001,19.63
20240428165001,26.04
20240430090001,757.51
20240430091001,964.18
20240430092001,1039.27
20240430093001,1009.93
20240430094001,1119.08
20240430095001,983.16
20240430100001,1148.59
20240430101001,809.96
20240430102001,1124.23
20240430103001,1306.85
20240430104001,1365.87
20240430105001,1097.05
20240430110001,1333.07
20240430111001,1345.46
20240430112001,1510.65
20240430113001,1490.92
20240430114001,1530.99
20240430115001,1459.05
20240430120001,780.95
20240430121001,1220.4
20240430122001,865.45
20240430123001,1250.8
20240430124001,1171.7
20240430125001,695.5
20240430130001,916.17
20240430131001,632.67
20240430132001,1157.81
20240430133001,1236.26
20240430134001,976.84
20240430135001,1061.98
20240430140001,760.32
20240430141001,571.67
20240430142001,472.78
20240430143001,473.26
20240430144001,284.67
20240430145001,246.97
20240430150001,174.38
20240430151001,59.13
20240430152001,75.83
20240430153001,69.2
20240430154001,52.14
20240430155001,79.95
20240430160001,18.33
20240430161001,6.4
20240430162001,3.43
20240430163001,4.88
20240430164001,4.97
20240430165001,2.59
20240515090001,780.37
20240515091001,950.26
20240515092001,1152.78
20240515093001,1088.28
20240515094001,984.64
20240515095001,1010.44
20240515100001,1035.4
20240515101001,1089.79
20240515102001,1018.75
20240515103001,828.7
20240515104001,993.11
20240515105001,1185.75
20240515110001,1469.56
20240515111001,1281.48
20240515112001,1494.47
20240515113001,1366.13
20240515114001,1306.15
20240515115001,1307.38
20240515120001,1400.86
20240515121001,1502.58
20240515122001,1535.39
20240515123001,1456.72
20240515124001,1031.1
20240515125001,1388.35
20240515130001,1345.12
20240515131001,1370.54
20240515132001,1242.6
20240515133001,891.27
20240515134001,372.06
20240515135001,718.58
20240515140001,427.68
20240515141001,191.54
20240515142001,165.52
20240515143001,191.91
20240515144001,126.8
20240515145001,85.63
20240515150001,136.08
20240515151001,94.94
20240515152001,79.05
20240515153001,41.51
20240515154001,33.91
20240515155001,30.32
20240515160001,36.17
20240515161001,24.29
20240515162001,19.83
20240515163001,9.86
20240515164001,17.64
20240515165001,13.41
20240520090001,400.96
20240520091001,397.94
20240520092001,287.09
20240520093001,374.8
20240520094001,227.17
20240520095001,254.78
20240520100001,220.63
20240520101001,243.73
20240520102001,242.71
20240520103001,201.34
20240520104001,261.39
20240520105001,325.6
20240520110001,240.29
20240520111001,269.28
20240520112001,266.94
20240520113001,246.91
20240520114001,229.09
20240520115001,236.57
20240520120001,233.38
20240520121001,223.55
20240520122001,184.12
20240520123001,184.83
20240520124001,230.02
20240520125001,176.14
20240520130001,204.44
20240520131001,124.12
20240520132001,81.2
20240520133001,80.54
20240520134001,72.73
20240520135001,84.08
20240520140001,73.6
20240520141001,91.29
20240520142001,107.1
20240520143001,110.42
20240520144001,109.38
20240520145001,91.3
20240520150001,96.59
20240520151001,116.1
20240520152001,94.76
20240520153001,95.27
20240520154001,89.29
20240520155001,80.19
20240520160001,38.56
20240520161001,37.08
20240520162001,30.47
20240520163001,18.99
20240520164001,15.82
20240520165001,15.08
20240613090001,35.78
20240613091001,35.63
20240613092001,49.14
20240613093001,163.19
20240613094001,138.4
20240613095001,127.25
20240613100001,197.18
20240613101001,257.07
20240613102001,443.04
20240613103001,383.69
20240613104001,270.02
20240613105001,192.46
20240613110001,412.69
20240613111001,346.17
20240613112001,563.6
20240613113001,795.36
20240613114001,921.61
20240613115001,882.96
20240613120001,1002.89
20240613121001,1027.29
20240613122001,900.39
20240613123001,919.5
20240613124001,671.36
20240613125001,389.42
20240613130001,1185.67
20240613131001,915.44
20240613132001,893.13
20240613133001,129.07
20240613134001,998.02
20240613135001,1075.76
20240613140001,335.01
20240613141001,213.26
20240613142001,505.2
20240613143001,51.09
20240613144001,33.21
20240613145001,46.7
20240613150001,53.42
20240613151001,49.77
20240613152001,35.85
20240613153001,47.99
20240613154001,54.93
20240613155001,241.8
20240613160001,61.67
20240613161001,47.36
20240613162001,15.36
20240613163001,10.79
20240613164001,10.7
20240613165001,7.26
20240615090001,781.45
20240615091001,776.61
20240615092001,834.16
20240615093001,907.49
20240615094001,845.74
20240615095001,920.25
20240615100001,1058.89
20240615101001,1306.51
20240615102001,1218.29
20240615103001,1181.45
20240615104001,928.15
20240615105001,1008.98
20240615110001,1345.54
20240615111001,1148.38
20240615112001,1194.64
20240615113001,1297.12
20240615114001,1304.81
20240615115001,1336.5
20240615120001,1428.6
20240615121001,1315.23
20240615122001,1341.54
20240615123001,1244.01
20240615124001,1250.98
20240615125001,1216.9
20240615130001,1207.63
20240615131001,975.02
20240615132001,686.71
20240615133001,484.24
20240615134001,585.83
20240615135001,741.56
20240615140001,708.5
20240615141001,813.83
20240615142001,637.62
20240615143001,593.92
20240615144001,586.92
20240615145001,461.26
20240615150001,353.07
20240615151001,233.4
20240615152001,226.39
20240615153001,133.6
20240615154001,108.01
20240615155001,134.79
20240615160001,169.67
20240615161001,130.73
20240615162001,90.16
20240615163001,43.22
20240615164001,26.02
20240615165001,13.79
20240703090001,252.79
20240703091001,623.0
20240703092001,843.45
20240703093001,838.3
20240703094001,860.87
20240703095001,405.4
20240703100001,191.71
20240703101001,259.09
20240703102001,399.52
20240703103001,693.69
20240703104001,1053.62
20240703105001,1071.95
20240703110001,1003.28
20240703111001,1148.82
20240703112001,890.9
20240703113001,1188.8
20240703114001,1149.15
20240703115001,1096.66
20240703120001,985.02
20240703121001,1033.67
20240703122001,992.93
20240703123001,983.49
20240703124001,906.54
20240703125001,866.87
20240703130001,823.36
20240703131001,826.06
20240703132001,738.96
20240703133001,639.75
20240703134001,627.92
20240703135001,611.71
20240703140001,591.85
20240703141001,564.94
20240703142001,455.38
20240703143001,458.04
20240703144001,426.77
20240703145001,296.63
20240703150001,256.74
20240703151001,191.47
20240703152001,208.92
20240703153001,193.54
20240703154001,116.91
20240703155001,19.31
20240703160001,47.06
20240703161001,15.47
20240703162001,13.63
20240703163001,9.89
20240703164001,10.3
20240703165001,7.18
20240707090001,740.56
20240707091001,777.46
20240707092001,846.19
20240707093001,885.06
20240707094001,896.96
20240707095001,997.51
20240707100001,1019.21
20240707101001,1066.72
20240707102001,1019.35
20240707103001,1042.05
20240707104001,1197.03
20240707105001,1032.24
20240707110001,659.72
20240707111001,1069.05
20240707112001,1200.19
20240707113001,1288.01
20240707114001,1235.83
20240707115001,1234.65
20240707120001,1102.68
20240707121001,1098.99
20240707122001,1075.69
20240707123001,1076.15
20240707124001,1080.85
20240707125001,990.73
20240707130001,1018.5
20240707131001,946.95
20240707132001,877.22
20240707133001,807.54
20240707134001,682.05
20240707135001,725.46
20240707140001,698.55
20240707141001,605.58
20240707142001,625.36
20240707143001,514.5
20240707144001,545.74
20240707145001,519.66
20240707150001,353.94
20240707151001,294.7
20240707152001,150.32
20240707153001,70.16
20240707154001,41.69
20240707155001,91.87
20240707160001,58.94
20240707161001,61.62
20240707162001,28.9
20240707163001,21.52
20240707164001,3.85
20240707165001,3.77
20240125090002,128.19
20240125091002,264.58
20240125092002,459.17
20240125093002,559.22
20240125094002,656.86
20240125095002,402.62
20240125100002,153.72
20240125101002,444.32
20240125102002,557.98
20240125103002,633.8
20240125104002,541.49
20240125105002,879.62
20240125110002,175.16
20240125111002,419.9
20240125112002,487.66
20240125113002,515.52
20240125114002,467.38
20240125115002,848.29
20240125120002,575.52
20240125121002,536.73
20240125122002,560.93
20240125123002,584.15
20240125124002,739.13
20240125125002,630.41
20240125130002,496.43
20240125131002,469.09
20240125132002,413.82
20240125133002,325.02
20240125134002,364.4
20240125135002,380.26
20240125140002,37.07
20240125141002,50.56
20240125142002,44.93
20240125143002,38.8
20240125144002,40.48
20240125145002,41.31
20240125150002,22.34
20240125151002,10.6
20240125152002,11.97
20240125153002,15.94
20240125154002,50.85
20240125155002,33.09
20240125160002,9.95
20240125161002,7.46
20240125162002,9.22
20240125163002,5.33
20240125164002,5.48
20240125165002,23.14
20240128090002,136.07
20240128091002,293.0
20240128092002,401.99
20240128093002,521.2
20240128094002,231.65
20240128095002,776.46
20240128100002,208.19
20240128101002,400.04
20240128102002,590.64
20240128103002,455.95
20240128104002,818.29
20240128105002,807.14
20240128110002,361.91
20240128111002,559.66
20240128112002,316.93
20240128113002,477.06
20240128114002,771.97
20240128115002,773.8
20240128120002,316.07
20240128121002,230.64
20240128122002,190.15
20240128123002,320.95
20240128124002,456.54
20240128125002,834.34
20240128130002,196.08
20240128131002,227.9
20240128132002,204.41
20240128133002,222.3
20240128134002,294.37
20240128135002,257.21
20240128140002,83.24
20240128141002,68.89
20240128142002,93.32
20240128143002,59.93
20240128144002,67.25
20240128145002,51.52
20240128150002,34.06
20240128151002,17.06
20240128152002,13.06
20240128153002,18.23
20240128154002,10.39
20240128155002,10.07
20240128160002,5.71
20240128161002,3.38
20240128162002,3.39
20240128163002,1.69
20240128164002,0.9
20240128165002,0.52
20240213090002,920.35
20240213091002,989.66
20240213092002,1454.26
20240213093002,1636.56
20240213094002,1589.48
20240213095002,1549.84
20240213100002,1759.15
20240213101002,1767.13
20240213102002,1739.26
20240213103002,1669.76
20240213104002,1821.22
20240213105002,1857.3
20240213110002,1946.75
20240213111002,1957.88
20240213112002,1905.4
20240213113002,1883.68
20240213114002,1975.11
20240213115002,1977.74
20240213120002,1984.44
20240213121002,1984.44
20240213122002,1711.08
20240213123002,1409.6
20240213124002,1257.12
20240213125002,1123.09
20240213130002,1719.82
20240213131002,679.71
20240213132002,448.43
20240213133002,476.9
20240213134002,441.59
20240213135002,383.73
20240213140002,148.99
20240213141002,114.17
20240213142002,103.51
20240213143002,106.27
20240213144002,93.69
20240213145002,68.42
20240213150002,40.39
20240213151002,37.83
20240213152002,25.82
20240213153002,19.52
20240213154002,6.62
20240213155002,9.37
20240213160002,16.06
20240213161002,19.3
20240213162002,9.64
20240213163002,6.52
20240213164002,5.59
20240213165002,4.09
20240226090002,29.09
20240226091002,31.75
20240226092002,36.25
20240226093002,35.01
20240226094002,66.73
20240226095002,92.6
20240226100002,79.6
20240226101002,105.26
20240226102002,70.31
20240226103002,59.1
20240226104002,168.47
20240226105002,155.39
20240226110002,67.7
20240226111002,62.85
20240226112002,47.44
20240226113002,40.79
20240226114002,35.95
20240226115002,36.73
20240226120002,65.97
20240226121002,61.48
20240226122002,56.72
20240226123002,35.59
20240226124002,40.75
20240226125002,61.88
20240226130002,37.1
20240226131002,34.23
20240226132002,37.69
20240226133002,38.6
20240226134002,50.15
20240226135002,39.68
20240226140002,24.28
20240226141002,22.04
20240226142002,17.74
20240226143002,17.03
20240226144002,14.63
20240226145002,13.99
20240226150002,15.18
20240226151002,11.53
20240226152002,10.5
20240226153002,8.91
20240226154002,7.43
20240226155002,6.93
20240226160002,5.19
20240226161002,3.89
20240226162002,2.76
20240226163002,1.76
20240226164002,1.37
20240226165002,0.84
20240319090002,10.19
20240319091002,7.64
20240319092002,8.5
20240319093002,7.78
20240319094002,9.09
20240319095002,11.22
20240319100002,28.4
20240319101002,16.62
20240319102002,13.63
20240319103002,13.4
20240319104002,12.83
20240319105002,13.35
20240319110002,30.45
20240319111002,33.65
20240319112002,38.75
20240319113002,37.61
20240319114002,33.57
20240319115002,24.93
20240319120002,27.28
20240319121002,21.32
20240319122002,34.99
20240319123002,28.43
20240319124002,28.43
20240319125002,30.59
20240319130002,30.56
20240319131002,34.05
20240319132002,19.44
20240319133002,19.27
20240319134002,18.48
20240319135002,17.22
20240319140002,13.7
20240319141002,12.65
20240319142002,13.38
20240319143002,12.25
20240319144002,11.93
20240319145002,12.54
20240319150002,15.43
20240319151002,15.61
20240319152002,15.59
20240319153002,12.64
20240319154002,8.25
20240319155002,5.7
20240319160002,3.54
20240319161002,2.05
20240319162002,1.38
20240319163002,1.99
20240319164002,1.23
20240319165002,0.81
20240427090002,84.52
20240427091002,59.22
20240427092002,41.37
20240427093002,67.88
20240427094002,61.11
20240427095002,68.44
20240427100002,53.69
20240427101002,56.57
20240427102002,90.92
20240427103002,156.23
20240427104002,166.59
20240427105002,138.07
20240427110002,165.76
20240427111002,162.25
20240427112002,141.94
20240427113002,114.0
20240427114002,110.19
20240427115002,84.2
20240427120002,104.73
20240427121002,107.71
20240427122002,96.48
20240427123002,86.47
20240427124002,82.01
20240427125002,77.7
20240427130002,199.17
20240427131002,189.98
20240427132002,102.12
20240427133002,191.54
20240427134002,330.94
20240427135002,348.91
20240427140002,251.06
20240427141002,276.09
20240427142002,200.85
20240427143002,145.86
20240427144002,204.5
20240427145002,185.65
20240427150002,259.48
20240427151002,203.75
20240427152002,137.72
20240427153002,119.22
20240427154002,105.43
20240427155002,113.86
20240427160002,109.34
20240427161002,93.56
20240427162002,44.7
20240427163002,22.27
20240427164002,42.44
20240427165002,39.12
20240508090002,165.01
20240508091002,187.91
20240508092002,182.9
20240508093002,131.44
20240508094002,135.81
20240508095002,159.01
20240508100002,90.5
20240508101002,112.23
20240508102002,87.1
20240508103002,36.48
20240508104002,29.84
20240508105002,34.81
20240508110002,59.6
20240508111002,50.94
20240508112002,87.33
20240508113002,83.85
20240508114002,108.64
20240508115002,136.48
20240508120002,167.88
20240508121002,148.79
20240508122002,188.24
20240508123002,80.89
20240508124002,61.43
20240508125002,31.24
20240508130002,27.79
20240508131002,14.76
20240508132002,14.78
20240508133002,29.41
20240508134002,16.94
20240508135002,21.72
20240508140002,14.86
20240508141002,27.63
20240508142002,51.22
20240508143002,22.2
20240508144002,10.19
20240508145002,11.63
20240508150002,8.11
20240508151002,5.4
20240508152002,4.32
20240508153002,5.62
20240508154002,2.56
20240508155002,3.55
20240508160002,1.65
20240508161002,0.23
20240508162002,2.28
20240508163002,2.3
20240508164002,0.73
20240508165002,0.0
20240705090002,692.41
20240705091002,747.7
20240705092002,808.64
20240705093002,888.57
20240705094002,924.39
20240705095002,982.25
20240705100002,991.24
20240705101002,1005.27
20240705102002,1028.99
20240705103002,1192.2
20240705104002,1112.43
20240705105002,172.02
20240705110002,607.55
20240705111002,83.9
20240705112002,168.32
20240705113002,1206.73
20240705114002,1293.01
20240705115002,1279.74
20240705120002,1208.62
20240705121002,1074.28
20240705122002,1219.79
20240705123002,1131.04
20240705124002,1151.44
20240705125002,1145.24
20240705130002,991.29
20240705131002,1004.14
20240705132002,960.53
20240705133002,926.22
20240705134002,801.38
20240705135002,728.19
20240705140002,713.33
20240705141002,728.32
20240705142002,692.25
20240705143002,441.87
20240705144002,560.55
20240705145002,114.08
20240705150002,230.13
20240705151002,215.12
20240705152002,185.68
20240705153002,158.4
20240705154002,29.44
20240705155002,31.04
20240705160002,31.05
20240705161002,22.98
20240705162002,20.19
20240705163002,19.77
20240705164002,10.01
20240705165002,12.07
20240707090002,684.04
20240707091002,727.55
20240707092002,776.65
20240707093002,859.48
20240707094002,894.43
20240707095002,951.45
20240707100002,962.04
20240707101002,979.69
20240707102002,980.89
20240707103002,1086.24
20240707104002,1142.62
20240707105002,1117.14
20240707110002,629.42
20240707111002,1034.79
20240707112002,1252.05
20240707113002,1278.14
20240707114002,1230.91
20240707115002,1239.35
20240707120002,1199.4
20240707121002,1188.85
20240707122002,1184.08
20240707123002,1113.47
20240707124002,1072.42
20240707125002,1061.61
20240707130002,994.93
20240707131002,968.94
20240707132002,957.28
20240707133002,882.18
20240707134002,807.09
20240707135002,749.48
20240707140002,662.47
20240707141002,644.45
20240707142002,616.36
20240707143002,537.97
20240707144002,567.76
20240707145002,557.1
20240707150002,432.08
20240707151002,339.87
20240707152002,145.53
20240707153002,64.53
20240707154002,41.65
20240707155002,95.41
20240707160002,41.13
20240707161002,68.49
20240707162002,25.4
20240707163002,16.22
20240707164002,3.32
20240707165002,4.7
20240317090003,1178.89
20240317091003,1271.94
20240317092003,1358.06
20240317093003,1373.97
20240317094003,1395.98
20240317095003,1482.68
20240317100003,1713.95
20240317101003,1746.06
20240317102003,1770.83
20240317103003,1773.64
20240317104003,1802.5
20240317105003,1836.94
20240317110003,1910.44
20240317111003,1808.57
20240317112003,1739.22
20240317113003,1500.5
20240317114003,1530.68
20240317115003,700.86
20240317120003,1004.28
20240317121003,665.75
20240317122003,261.03
20240317123003,225.7
20240317124003,354.59
20240317125003,143.79
20240317130003,164.37
20240317131003,178.54
20240317132003,200.71
20240317133003,230.03
20240317134003,294.87
20240317135003,298.55
20240317140003,158.74
20240317141003,104.13
20240317142003,95.56
20240317143003,75.37
20240317144003,64.52
20240317145003,53.1
20240317150003,70.93
20240317151003,37.75
20240317152003,40.84
20240317153003,24.45
20240317154003,41.32
20240317155003,56.96
20240317160003,11.74
20240317161003,15.02
20240317162003,13.28
20240317163003,9.68
20240317164003,6.42
20240317165003,6.37
20240414090003,1274.13
20240414091003,1276.38
20240414092003,1273.99
20240414093003,1262.76
20240414094003,1340.49
20240414095003,1316.68
20240414100003,1442.02
20240414101003,1436.71
20240414102003,1606.82
20240414103003,1653.38
20240414104003,1580.69
20240414105003,1521.82
20240414110003,1558.92
20240414111003,1603.3
20240414112003,1652.66
20240414113003,1695.58
20240414114003,1726.3
20240414115003,1427.67
20240414120003,1392.79
20240414121003,1187.86
20240414122003,1092.92
20240414123003,1405.56
20240414124003,1155.14
20240414125003,1040.83
20240414130003,1071.78
20240414131003,837.06
20240414132003,624.84
20240414133003,649.66
20240414134003,758.45
20240414135003,651.87
20240414140003,637.21
20240414141003,499.96
20240414142003,330.04
20240414143003,433.72
20240414144003,450.87
20240414145003,238.02
20240414150003,235.22
20240414151003,233.6
20240414152003,156.13
20240414153003,83.04
20240414154003,105.1
20240414155003,81.78
20240414160003,77.74
20240414161003,60.93
20240414162003,38.63
20240414163003,31.46
20240414164003,21.82
20240414165003,20.7
20240524090003,91.37
20240524091003,122.94
20240524092003,168.39
20240524093003,177.24
20240524094003,215.76
20240524095003,356.7
20240524100003,172.18
20240524101003,118.05
20240524102003,246.92
20240524103003,282.99
20240524104003,296.27
20240524105003,188.19
20240524110003,184.69
20240524111003,169.48
20240524112003,306.17
20240524113003,488.57
20240524114003,277.29
20240524115003,142.59
20240524120003,166.45
20240524121003,224.08
20240524122003,319.25
20240524123003,319.3
20240524124003,449.13
20240524125003,510.27
20240524130003,794.4
20240524131003,593.32
20240524132003,413.33
20240524133003,253.68
20240524134003,224.5
20240524135003,140.29
20240524140003,57.13
20240524141003,36.12
20240524142003,34.59
20240524143003,23.03
20240524144003,16.51
20240524145003,36.96
20240524150003,6.65
20240524151003,5.18
20240524152003,4.82
20240524153003,4.54
20240524154003,4.91
20240524155003,2.64
20240524160003,0.8
20240524161003,3.27
20240524162003,1.14
20240524163003,4.25
20240524164003,4.35
20240524165003,7.69
20240526090003,132.44
20240526091003,203.33
20240526092003,255.73
20240526093003,485.71
20240526094003,336.47
20240526095003,854.67
20240526100003,648.9
20240526101003,551.77
20240526102003,374.85
20240526103003,243.64
20240526104003,209.41
20240526105003,212.01
20240526110003,232.62
20240526111003,262.02
20240526112003,251.77
20240526113003,339.52
20240526114003,287.01
20240526115003,313.32
20240526120003,315.18
20240526121003,305.01
20240526122003,328.86
20240526123003,290.68
20240526124003,239.68
20240526125003,267.68
20240526130003,239.57
20240526131003,179.28
20240526132003,202.54
20240526133003,200.52
20240526134003,80.82
20240526135003,108.23
20240526140003,97.44
20240526141003,85.6
20240526142003,89.8
20240526143003,88.88
20240526144003,68.61
20240526145003,71.64
20240526150003,55.01
20240526151003,55.93
20240526152003,48.67
20240526153003,37.03
20240526154003,44.61
20240526155003,34.8
20240526160003,34.54
20240526161003,31.01
20240526162003,21.85
20240526163003,22.86
20240526164003,22.09
20240526165003,21.64
20240603090003,49.59
20240603091003,63.42
20240603092003,69.6
20240603093003,69.78
20240603094003,67.16
20240603095003,94.17
20240603100003,79.45
20240603101003,57.9
20240603102003,71.63
20240603103003,98.8
20240603104003,137.89
20240603105003,199.33
20240603110003,62.17
20240603111003,68.43
20240603112003,44.25
20240603113003,54.3
20240603114003,84.57
20240603115003,81.83
20240603120003,122.54
20240603121003,149.67
20240603122003,306.65
20240603123003,139.29
20240603124003,66.76
20240603125003,198.44
20240603130003,148.06
20240603131003,114.35
20240603132003,159.98
20240603133003,144.71
20240603134003,84.06
20240603135003,67.43
20240603140003,95.1
20240603141003,75.78
20240603142003,133.31
20240603143003,58.34
20240603144003,37.16
20240603145003,29.35
20240603150003,16.48
20240603151003,11.57
20240603152003,14.67
20240603153003,12.93
20240603154003,2.82
20240603155003,3.8
20240603160003,2.5
20240603161003,1.49
20240603162003,3.94
20240603163003,4.5
20240603164003,3.94
20240603165003,3.57
20240620090003,1017.21
20240620091003,1058.64
20240620092003,737.52
20240620093003,1185.81
20240620094003,1182.11
20240620095003,1022.5
20240620100003,980.47
20240620101003,918.39
20240620102003,1132.08
20240620103003,573.19
20240620104003,389.12
20240620105003,498.24
20240620110003,1322.5
20240620111003,1478.87
20240620112003,1514.29
20240620113003,1488.16
20240620114003,1534.72
20240620115003,1496.49
20240620120003,1479.6
20240620121003,1502.4
20240620122003,1497.41
20240620123003,1516.39
20240620124003,1467.91
20240620125003,1493.04
20240620130003,1378.63
20240620131003,1289.28
20240620132003,1307.81
20240620133003,977.92
20240620134003,996.05
20240620135003,1031.18
20240620140003,772.35
